City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description,Date
58,Posse,BR,-14.0931,-46.3694,70.56,56,88,2.51,overcast clouds,2022-03-31 02:14:29
59,Cidreira,BR,-30.1811,-50.2056,60.76,69,97,11.5,overcast clouds,2022-03-31 02:14:30
60,Luderitz,NA,-26.6481,15.1594,62.1,64,0,14.36,clear sky,2022-03-31 02:14:30
61,Castro,BR,-24.7911,-50.0119,63.95,95,100,3.62,overcast clouds,2022-03-31 02:14:31
62,Mahebourg,MU,-20.4081,57.7,79.25,76,92,22.68,light rain,2022-03-31 02:14:31
63,Hithadhoo,MV,-0.6,73.0833,82.45,69,8,5.91,clear sky,2022-03-31 02:14:32
64,Ribeira Grande,PT,38.5167,-28.7,61.29,89,100,5.55,overcast clouds,2022-03-31 02:14:32
65,Bengkulu,ID,-3.8004,102.2655,82.26,69,38,5.99,scattered clouds,2022-03-31 02:14:32
66,Bambanglipuro,ID,-7.95,110.2833,84.18,67,82,1.25,broken clouds,2022-03-31 02:14:33
67,Carndonagh,IE,55.25,-7.2667,34.79,59,2,7.67,clear sky,2022-03-31 02:14:33
68,Ocara,BR,-4.4908,-38.5967,72.7,93,99,3.15,overcast clouds,2022-03-31 02:14:34
69,Vila Franca Do Campo,PT,37.7167,-25.4333,57.61,88,79,2.8,broken clouds,2022-03-31 02:14:34
70,Kudahuvadhoo,MV,2.6708,72.8944,82.08,71,2,3.78,clear sky,2022-03-31 02:14:35
71,Crixas,BR,-14.5489,-49.9692,72.84,88,99,2.48,overcast clouds,2022-03-31 02:14:35
72,Kavieng,PG,-2.5744,150.7967,84.11,74,86,14.12,overcast clouds,2022-03-31 02:14:36
73,Port Hedland,AU,-20.3167,118.5667,93.25,52,41,11.5,scattered clouds,2022-03-31 02:14:36
74,Georgetown,MY,5.4112,100.3354,85.95,74,20,5.75,few clouds,2022-03-31 02:11:09
75,Berlevag,NO,70.8578,29.0864,24.6,71,100,18.28,light snow,2022-03-31 02:14:37
76,Shingu,JP,33.7333,135.9833,70.03,62,100,9.98,overcast clouds,2022-03-31 02:14:37
77,Alwar,IN,27.5667,76.6,81.82,13,0,3.47,clear sky,2022-03-31 02:14:38
78,Singaraja,ID,-8.112,115.0882,85.28,69,39,2.44,scattered clouds,2022-03-31 02:14:38
79,Maceio,BR,-9.6658,-35.7353,76.44,94,40,3.44,scattered clouds,2022-03-31 02:14:39
80,Jamestown,US,42.097,-79.2353,53.19,34,0,12.66,clear sky,2022-03-31 02:12:14
81,Campbell River,CA,50.0163,-125.2446,46.45,80,100,5.1,overcast clouds,2022-03-31 02:14:40
82,Puerto Colombia,CO,10.9878,-74.9547,80.69,84,67,23.09,broken clouds,2022-03-31 02:14:40
83,Pangody,RU,65.85,74.4859,9.95,85,69,22.08,broken clouds,2022-03-31 02:14:41
84,Grand Gaube,MU,-20.0064,57.6608,79.38,73,54,13.0,broken clouds,2022-03-31 02:14:41
85,Ponta Do Sol,PT,32.6667,-17.1,60.71,77,1,3.56,clear sky,2022-03-31 02:14:42
86,Butaritari,KI,3.0707,172.7902,81.05,70,1,8.86,clear sky,2022-03-31 02:14:42
87,Ahipara,NZ,-35.1667,173.1667,73.17,60,22,5.03,few clouds,2022-03-31 02:14:42
88,Cherlak,RU,54.155,74.8055,35.64,83,99,20.62,overcast clouds,2022-03-31 02:14:43
89,Pacific Grove,US,36.6177,-121.9166,59.02,79,100,9.22,overcast clouds,2022-03-31 02:14:43
90,Pahrump,US,36.2083,-115.9839,71.65,21,100,5.01,overcast clouds,2022-03-31 02:10:41
91,Srednekolymsk,RU,67.45,153.6833,3.42,83,98,6.15,overcast clouds,2022-03-31 02:14:44
92,Haines Junction,CA,60.7522,-137.5108,35.02,85,100,1.39,overcast clouds,2022-03-31 02:14:44
93,Rawson,AR,-43.3002,-65.1023,51.49,60,54,3.56,broken clouds,2022-03-31 02:10:13
94,Hilo,US,19.7297,-155.09,76.73,87,100,12.66,heavy intensity rain,2022-03-31 02:10:20
95,Kapaa,US,22.0752,-159.319,80.58,77,20,11.5,few clouds,2022-03-31 02:14:45
96,Lumeje,AO,-11.55,20.7833,63.75,95,100,1.16,overcast clouds,2022-03-31 02:11:17
97,North Bend,US,43.4065,-124.2243,52.92,85,20,9.22,few clouds,2022-03-31 02:14:46
98,Srandakan,ID,-7.9386,110.2506,84.31,67,83,1.48,broken clouds,2022-03-31 02:14:47
99,Casablanca,MA,33.5928,-7.6192,55.62,87,19,6.2,few clouds,2022-03-31 02:10:00
100,Carnarvon,AU,-24.8667,113.6333,80.67,78,75,5.75,light rain,2022-03-31 02:14:47
101,Dunda,TZ,-8.1167,34.25,63.54,98,100,1.05,overcast clouds,2022-03-31 02:14:48
102,Nuuk,GL,64.1835,-51.7216,15.78,94,71,4.9,broken clouds,2022-03-31 02:14:48
103,Sao Filipe,CV,14.8961,-24.4956,70.92,77,8,14.27,clear sky,2022-03-31 02:14:48
104,Uvira,CD,-3.4067,29.1458,70.84,89,100,4.18,light rain,2022-03-31 02:14:49
105,Teknaf,BD,20.8624,92.3058,82.69,71,6,2.77,clear sky,2022-03-31 02:14:49
106,Esperance,AU,-33.8667,121.9,69.67,66,100,15.19,overcast clouds,2022-03-31 02:14:50
107,Thinadhoo,MV,0.5333,72.9333,82.06,73,14,4.27,few clouds,2022-03-31 02:14:50
108,San Vicente,AR,-26.6167,-54.1333,50.81,82,100,7.23,overcast clouds,2022-03-31 02:14:51
109,Sisimiut,GL,66.9395,-53.6735,13.14,93,61,4.74,broken clouds,2022-03-31 02:14:51
110,Ilulissat,GL,69.2167,-51.1,19.42,93,100,5.75,overcast clouds,2022-03-31 02:14:51
111,Marquette,US,46.5333,-87.6335,31.44,94,100,8.48,light snow,2022-03-31 02:14:52
112,Bluff,NZ,-46.6,168.3333,62.04,81,100,6.29,overcast clouds,2022-03-31 02:14:52
113,Hearst,CA,49.6835,-83.6665,25.68,99,100,2.53,overcast clouds,2022-03-31 02:14:53
114,Chuy,UY,-33.6971,-53.4616,52.39,61,22,10.18,few clouds,2022-03-31 02:14:53
115,Arlit,NE,18.7369,7.3853,73.15,5,6,6.04,clear sky,2022-03-31 02:14:54
116,Vaini,TO,-21.2,-175.2,84.36,79,75,9.22,broken clouds,2022-03-31 02:14:54
117,Kahului,US,20.8947,-156.47,80.62,69,40,16.11,scattered clouds,2022-03-31 02:14:55
118,Shakawe,BW,-18.3667,21.85,66.22,93,97,3.47,overcast clouds,2022-03-31 02:14:55
119,Campanha,BR,-21.8361,-45.4006,63.99,91,6,1.54,clear sky,2022-03-31 02:14:56
120,Gravdal,NO,68.1214,13.5031,31.26,72,100,18.28,light snow,2022-03-31 02:14:56
121,Vila Velha,BR,-20.3297,-40.2925,78.75,89,0,4.61,clear sky,2022-03-31 02:14:57
122,Dikson,RU,73.5069,80.5464,23.23,86,100,11.34,overcast clouds,2022-03-31 02:14:57
123,Coahuayana,MX,18.7333,-103.6833,68.29,78,38,1.86,scattered clouds,2022-03-31 02:14:57
124,Nikolskoye,RU,59.7035,30.7861,23.81,92,25,6.71,scattered clouds,2022-03-31 02:14:58
125,Coihaique,CL,-45.5752,-72.0662,43.41,81,0,2.3,clear sky,2022-03-31 02:14:58
126,Belaya Gora,RU,68.5333,146.4167,0.32,88,86,3.51,overcast clouds,2022-03-31 02:14:59
127,Anupgarh,IN,29.1911,73.2086,76.53,12,0,7.54,clear sky,2022-03-31 02:14:59
128,Ubala,CO,4.7478,-72.5369,79.84,65,93,3.09,overcast clouds,2022-03-31 02:14:59
129,Emerald,AU,-23.5333,148.1667,89.35,34,0,13.67,clear sky,2022-03-31 02:15:00
130,Ust-Maya,RU,60.4167,134.5333,19.94,74,100,4.94,light snow,2022-03-31 02:15:00
131,Beira,MZ,-19.8436,34.8389,71.46,88,2,2.15,clear sky,2022-03-31 02:15:01
132,Vestmanna,FO,62.1564,-7.1664,27.52,80,98,5.75,overcast clouds,2022-03-31 02:15:01
133,Fairbanks,US,64.8378,-147.7164,29.08,45,0,11.5,clear sky,2022-03-31 02:15:02
134,Bianzhuang,CN,34.8486,118.0447,51.48,36,100,13.13,overcast clouds,2022-03-31 02:15:03
135,Nanortalik,GL,60.1432,-45.2371,34.79,82,100,3.13,overcast clouds,2022-03-31 02:15:03
136,Ilhabela,BR,-23.7781,-45.3581,78.08,78,95,3.15,heavy intensity rain,2022-03-31 02:15:04
137,Chota,PE,-6.55,-78.65,54.82,95,100,3.06,light rain,2022-03-31 02:15:05
138,Pevek,RU,69.7008,170.3133,-8.64,92,68,2.01,broken clouds,2022-03-31 02:15:05
139,Tsaratanana,MG,-16.7833,47.65,69.6,79,10,10.8,clear sky,2022-03-31 02:15:06
140,Sinnamary,GF,5.3833,-52.95,76.28,81,100,7.29,overcast clouds,2022-03-31 02:15:07
141,Kirgiz-Miyaki,RU,53.6324,54.7979,32.31,99,100,6.62,snow,2022-03-31 02:15:07
142,Sao Joao Da Barra,BR,-21.6403,-41.0511,76.6,91,0,11.41,clear sky,2022-03-31 02:15:08
143,Samarai,PG,-10.6167,150.6667,85.3,71,14,10.31,few clouds,2022-03-31 02:15:08
144,Bafoulabe,ML,13.8065,-10.8321,91.71,11,26,3.11,scattered clouds,2022-03-31 02:15:09
145,Gbarnga,LR,6.9956,-9.4722,72.95,99,49,2.1,scattered clouds,2022-03-31 02:15:09
146,San Pedro De Macoris,DO,18.4616,-69.2972,72.21,86,16,11.34,few clouds,2022-03-31 02:15:10
147,Kalabo,ZM,-14.97,22.6814,64.69,98,100,2.68,moderate rain,2022-03-31 02:15:10
148,Ixtapa,MX,20.7,-105.2,72.63,78,0,10.36,clear sky,2022-03-31 02:15:10
149,Narsaq,GL,60.9167,-46.05,48.42,78,100,3.62,overcast clouds,2022-03-31 02:15:11
150,Alofi,NU,-19.0595,-169.9187,84.09,79,75,8.05,broken clouds,2022-03-31 02:15:11
151,Bilibino,RU,68.0546,166.4372,10.33,60,99,1.25,overcast clouds,2022-03-31 02:15:12
152,Palmeirais,BR,-5.9778,-43.0633,74.64,90,100,3.15,overcast clouds,2022-03-31 02:15:12
153,Libenge,CD,3.65,18.6333,73.69,64,42,3.89,scattered clouds,2022-03-31 02:15:13
154,Pangnirtung,CA,66.1451,-65.7125,9.73,90,93,4.41,overcast clouds,2022-03-31 02:15:13
155,Muli,MV,2.9167,73.5667,82.29,72,5,4.68,clear sky,2022-03-31 02:15:14
156,Chokurdakh,RU,70.6333,147.9167,-4.99,93,25,3.38,scattered clouds,2022-03-31 02:15:14
157,Nikolayevsk-Na-Amure,RU,53.1406,140.73,26.2,72,10,10.13,clear sky,2022-03-31 02:15:15
158,Tura,IN,25.5198,90.2201,72.54,76,92,2.73,overcast clouds,2022-03-31 02:14:42
159,Guerrero Negro,MX,27.9769,-114.0611,59.9,78,0,18.05,clear sky,2022-03-31 02:15:15
160,Nijar,ES,36.9665,-2.206,56.66,55,0,8.05,clear sky,2022-03-31 02:15:16
161,Mayumba,GA,-3.432,10.6554,76.26,91,88,4.52,overcast clouds,2022-03-31 02:15:17
162,Andenes,NO,69.3143,16.1194,27.93,86,75,13.8,light snow,2022-03-31 02:15:17
163,Cherskiy,RU,68.75,161.3,-0.72,84,97,4.41,overcast clouds,2022-03-31 02:15:17
164,Atar,MR,20.5169,-13.0499,71.51,22,100,11.27,overcast clouds,2022-03-31 02:15:18
165,Provideniya,RU,64.3833,-173.3,19.51,79,100,20.13,overcast clouds,2022-03-31 02:15:18
166,Walsrode,DE,52.8667,9.6,38.08,85,100,8.46,overcast clouds,2022-03-31 02:15:19
167,Severo-Kurilsk,RU,50.6789,156.125,31.01,76,38,12.88,scattered clouds,2022-03-31 02:15:19
168,Sorong,ID,-0.8833,131.25,83.37,72,91,5.75,overcast clouds,2022-03-31 02:15:20
169,Geraldton,AU,-28.7667,114.6,84.61,58,100,18.41,overcast clouds,2022-03-31 02:13:01
170,Tabuk,PH,17.4189,121.4443,84.42,62,89,5.99,overcast clouds,2022-03-31 02:15:20
171,Roald,NO,62.5833,6.1333,34.9,93,75,3.44,light snow,2022-03-31 02:15:21
172,Olafsvik,IS,64.8945,-23.7142,37.89,77,90,7.63,overcast clouds,2022-03-31 02:15:21
173,Paita,PE,-5.0892,-81.1144,73.17,77,66,15.82,broken clouds,2022-03-31 02:15:22
174,Necochea,AR,-38.5473,-58.7368,54.1,63,87,18.92,overcast clouds,2022-03-31 02:15:22
175,Los Llanos De Aridane,ES,28.6585,-17.9182,58.75,82,20,9.22,few clouds,2022-03-31 02:15:23
176,Saldanha,ZA,-33.0117,17.9442,60.91,87,42,9.8,scattered clouds,2022-03-31 02:15:23
177,Kodiak,US,57.79,-152.4072,38.71,93,100,12.66,light rain,2022-03-31 02:11:39
178,Kajaani,FI,64.2273,27.7285,17.65,86,75,2.3,broken clouds,2022-03-31 02:15:24
179,Saskylakh,RU,71.9167,114.0833,0.18,94,100,8.66,overcast clouds,2022-03-31 02:15:24
180,Torbay,CA,47.6666,-52.7314,33.58,87,75,16.11,broken clouds,2022-03-31 02:15:16
181,Sangar,RU,63.9242,127.4739,10.42,88,45,3.49,scattered clouds,2022-03-31 02:15:25
182,Kushiro,JP,42.975,144.3747,41.95,65,40,11.5,scattered clouds,2022-03-31 02:15:26
183,Naguabo,PR,18.2116,-65.7349,76.82,75,75,11.5,broken clouds,2022-03-31 02:15:26
184,Axim,GH,4.8699,-2.2405,80.08,88,72,7.09,broken clouds,2022-03-31 02:15:27
185,Boralday,KZ,43.3578,76.8594,37.26,81,0,2.24,clear sky,2022-03-31 02:15:27
186,Baykit,RU,61.67,96.37,27.84,91,100,8.86,overcast clouds,2022-03-31 02:15:27
187,Karratha,AU,-20.7377,116.8463,88.45,57,96,10.38,light rain,2022-03-31 02:15:28
188,Atasu,KZ,48.6814,71.6433,23.67,78,74,5.75,broken clouds,2022-03-31 02:15:28
189,Ostrovnoy,RU,68.0531,39.5131,8.33,91,97,4.9,overcast clouds,2022-03-31 02:15:29
190,Maniitsoq,GL,65.4167,-52.9,21.13,84,32,7.65,scattered clouds,2022-03-31 02:15:29
191,Grindavik,IS,63.8424,-22.4338,37.87,65,100,4.61,overcast clouds,2022-03-31 02:15:30
192,Hasaki,JP,35.7333,140.8333,68.4,71,2,15.46,clear sky,2022-03-31 02:15:30
193,Khatanga,RU,71.9667,102.5,14.23,96,93,6.24,overcast clouds,2022-03-31 02:15:31
194,Dothan,US,31.2232,-85.3905,72.7,77,99,7.0,overcast clouds,2022-03-31 02:15:31
195,Barrow,US,71.2906,-156.7887,-0.38,71,0,17.27,clear sky,2022-03-31 02:15:32
196,Ipora,BR,-16.4419,-51.1178,68.74,90,49,1.74,scattered clouds,2022-03-31 02:15:32
197,Sitka,US,57.0531,-135.33,42.69,81,100,5.75,light rain,2022-03-31 02:15:33
198,Tatawin,TN,32.9297,10.4518,67.08,58,97,7.7,overcast clouds,2022-03-31 02:15:33
199,Aklavik,CA,68.2191,-135.0107,-9.17,90,100,14.12,overcast clouds,2022-03-31 02:15:34
200,Meulaboh,ID,4.1363,96.1285,79.47,82,78,2.62,broken clouds,2022-03-31 02:15:34
201,Chicama,PE,-7.8447,-79.1469,66.74,75,82,7.31,broken clouds,2022-03-31 02:15:35
202,Varna,BG,43.2167,27.9167,56.23,82,0,0.0,light rain,2022-03-31 02:11:24
203,Mabaruma,GY,8.2,-59.7833,72.34,93,99,2.82,overcast clouds,2022-03-31 02:15:35
204,Tuzha,RU,57.6062,47.936,6.51,96,63,4.41,broken clouds,2022-03-31 02:15:36
205,Christchurch,NZ,-43.5333,172.6333,69.42,77,75,16.11,broken clouds,2022-03-31 02:12:58
206,Okhotsk,RU,59.3833,143.3,18.81,65,9,14.18,clear sky,2022-03-31 02:15:36
207,San Cristobal,VE,7.7669,-72.225,71.8,65,99,1.36,overcast clouds,2022-03-31 02:15:37
208,Neiafu,TO,-18.65,-173.9833,83.08,83,75,6.91,light rain,2022-03-31 02:15:38
209,Portland,US,45.5234,-122.6762,54.63,58,75,11.5,broken clouds,2022-03-31 02:12:58
210,Sabang,ID,5.8933,95.3214,81.91,74,83,9.69,broken clouds,2022-03-31 02:15:38
211,Souillac,MU,-20.5167,57.5167,75.58,88,40,17.27,light rain,2022-03-31 02:15:39
212,Kasama,ZM,-10.2129,31.1808,61.95,99,98,3.94,light rain,2022-03-31 02:15:39
213,Tabory,RU,58.5198,64.5495,22.05,82,8,10.89,clear sky,2022-03-31 02:15:39
214,Prnjavor,BA,44.8703,17.6628,49.26,83,100,3.24,light rain,2022-03-31 02:15:40
215,Teya,RU,60.3778,92.6267,29.01,90,98,11.45,overcast clouds,2022-03-31 02:15:40
216,Isangel,VU,-19.55,169.2667,84.16,75,94,10.27,overcast clouds,2022-03-31 02:15:41
217,Koumac,NC,-20.5667,164.2833,86.4,66,30,1.97,scattered clouds,2022-03-31 02:15:41
218,Havoysund,NO,70.9963,24.6622,26.83,65,100,15.9,light snow,2022-03-31 02:15:42
219,The Valley,AI,18.217,-63.0578,78.66,70,12,22.15,few clouds,2022-03-31 02:15:42
220,Maldonado,UY,-34.6667,-54.9167,58.23,62,75,13.13,broken clouds,2022-03-31 02:15:42
221,Itaituba,BR,-4.2761,-55.9836,71.51,100,100,0.54,overcast clouds,2022-03-31 02:15:43
222,Stornoway,GB,58.2093,-6.3865,37.36,81,75,16.11,broken clouds,2022-03-31 02:15:44
223,Qaanaaq,GL,77.484,-69.3632,13.8,74,97,7.14,overcast clouds,2022-03-31 02:15:44
224,Noumea,NC,-22.2763,166.4572,91.38,99,23,7.47,few clouds,2022-03-31 02:13:41
225,Phalombe,MW,-15.8064,35.6507,63.55,97,30,1.81,scattered clouds,2022-03-31 02:15:45
226,Leningradskiy,RU,69.3833,178.4167,-7.46,89,100,5.61,overcast clouds,2022-03-31 02:15:45
227,Casillas,GT,14.4222,-90.2442,69.22,94,29,2.59,scattered clouds,2022-03-31 02:15:46
228,Huntington,US,38.4193,-82.4452,77.9,23,0,16.11,clear sky,2022-03-31 02:15:46
229,Sahuaripa,MX,29.05,-109.2333,67.19,26,0,3.24,clear sky,2022-03-31 02:15:46
230,Kruisfontein,ZA,-34.0033,24.7314,57.88,81,100,2.73,overcast clouds,2022-03-31 02:15:47
231,Riyadh,SA,24.6877,46.7219,62.74,12,20,7.09,few clouds,2022-03-31 02:12:43
232,Boo,SE,59.3333,18.2833,25.77,85,15,0.0,few clouds,2022-03-31 02:15:48
233,Yumen,CN,40.2833,97.2,42.51,34,14,11.86,few clouds,2022-03-31 02:15:48
234,Mehamn,NO,71.0357,27.8492,24.44,74,100,16.62,light snow,2022-03-31 02:15:48
235,Vao,NC,-22.6667,167.4833,79.23,85,8,17.58,clear sky,2022-03-31 02:15:49
236,Terrace,CA,54.5163,-128.6035,40.66,95,99,3.91,light rain,2022-03-31 02:12:58
237,Chifeng,CN,42.2683,118.9636,37.85,23,91,20.69,overcast clouds,2022-03-31 02:15:49
238,Dhidhdhoo,MV,6.8833,73.1,83.01,71,63,1.74,broken clouds,2022-03-31 02:15:50
239,Chachapoyas,PE,-6.2317,-77.869,56.44,95,100,1.3,light rain,2022-03-31 02:15:50
240,Alvorada,BR,-12.48,-49.1247,72.43,92,63,3.04,broken clouds,2022-03-31 02:15:49
241,Clyde River,CA,70.4692,-68.5914,5.23,85,100,12.66,light snow,2022-03-31 02:15:51
242,Riosucio,CO,5.4216,-75.7032,60.1,98,100,1.41,moderate rain,2022-03-31 02:15:52
243,Vardo,NO,70.3705,31.1107,27.54,66,100,20.07,light snow,2022-03-31 02:15:52
244,Redmond,US,47.674,-122.1215,50.86,87,100,4.0,light rain,2022-03-31 02:15:52
245,Yellowknife,CA,62.456,-114.3525,19.56,63,100,8.99,overcast clouds,2022-03-31 02:13:25
246,Margate,GB,51.3813,1.3862,40.69,78,100,10.0,overcast clouds,2022-03-31 02:15:53
