City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
281,Boyolangu,ID,83.37,light rain,-8.1181,111.8935,Yos ega cv
284,Mandera,KE,80.24,scattered clouds,3.9366,41.867,Hiren Hotel Mandera
285,Sur,OM,77.02,clear sky,22.5667,59.5289,Sur Plaza Hotel
290,Padang,ID,80.65,clear sky,-0.9492,100.3543,Mercure Padang
292,Grand Baie,MU,79.45,scattered clouds,-20.0182,57.5802,Trou aux Biches Beachcomber Golf Resort & Spa
306,Merauke,ID,84.45,few clouds,-8.4667,140.3333,
313,Nioro,GM,80.69,overcast clouds,13.35,-15.75,
316,Morondava,MG,76.62,clear sky,-20.2833,44.2833,La Case Bambou
319,Lethem,GY,80.76,scattered clouds,3.3803,-59.7968,Savannah Inn
324,Cayenne,GF,79.09,broken clouds,4.9333,-52.3333,Hôtel Le Dronmi
328,Gamba,GA,76.35,broken clouds,-2.65,10.0,
329,Poum,NC,82.56,clear sky,-20.2333,164.0167,
330,Bambous Virieux,MU,79.21,moderate rain,-20.3428,57.7575,Casa Tia Villa
331,Galle,LK,80.08,overcast clouds,6.0367,80.217,Amangalla
355,Acajutla,SV,80.8,broken clouds,13.5928,-89.8275,Laureles
356,Sibolga,ID,82.81,few clouds,1.7427,98.7792,Hotel Syariah CN Darussalam
357,Pochutla,MX,78.82,broken clouds,15.7432,-96.4661,Hotel Posada San Jose
358,Ternate,ID,83.88,overcast clouds,0.8,127.4,Sahid Bela Ternate Hotel
367,Curup,ID,78.49,scattered clouds,-3.4667,102.5333,Ayi The Costel
375,Kondagaon,IN,79.99,few clouds,19.6,81.6667,AYAN MOTER
376,Tuy Hoa,VN,75.31,overcast clouds,13.0833,109.3,CenDeluxe Hotel Tuy Hoa
391,Basco,PH,79.59,overcast clouds,20.4487,121.9702,Nathaniel's Lodge
392,Lufilufi,WS,89.38,light rain,-13.8745,-171.5986,Leuaina Beach Resort and Spa
393,Porto Velho,BR,75.25,few clouds,-8.7619,-63.9039,Ecos Hotel Conforto
395,Bintulu,MY,86.41,thunderstorm,3.1667,113.0333,900 Boutique INN
397,Yeppoon,AU,87.58,clear sky,-23.1333,150.7333,Villa Mar Colina
399,Caruray,PH,86.5,overcast clouds,10.3094,119.0128,
400,Hervey Bay,AU,79.12,few clouds,-25.2986,152.8535,Shelly Bay Resort
404,Bandrele,YT,80.35,light rain,-12.9067,45.1914,Les Baobabs
405,Dingle,PH,87.3,scattered clouds,10.9995,122.6711,SEGAYA PROPERTY
410,Mount Isa,AU,89.37,clear sky,-20.7333,139.5,ibis Styles Mt Isa Verona
413,Yarada,IN,84.52,mist,17.65,83.2667,Yarada Jungle Beach Resorts
416,Kupang,ID,83.52,scattered clouds,-10.1667,123.5833,Hotel On The Rock by Prasanthi
418,Yola,NG,77.54,overcast clouds,9.2,12.4833,Muna Hotel
421,Le Port,RE,77.0,scattered clouds,-20.9373,55.2919,KORBEY D'OR OUEST
423,Banda Aceh,ID,81.52,broken clouds,5.5577,95.3222,OYO 884 Rumoh PMI Hotel
424,Batticaloa,LK,78.55,clear sky,7.7102,81.6924,Grand Star Guest House
431,Kendari,ID,81.84,overcast clouds,-3.945,122.4989,Hotel Wixel
432,Puerto Escondido,MX,79.63,scattered clouds,15.85,-97.0667,Aldea del Bazar Hotel and Spa
435,Roebourne,AU,88.34,overcast clouds,-20.7833,117.1333,Latitude20 Roebourne Village
437,Gizo,SB,84.81,light rain,-8.103,156.8419,Imagination Island
439,Dhaulpur,IN,82.38,clear sky,26.7,77.9,Hotel Gaurav
446,Makakilo City,US,82.72,scattered clouds,21.3469,-158.0858,Marriott's Ko Olina Beach Club
447,Bonfim,BR,81.05,broken clouds,3.0833,-59.95,
449,Kihei,US,80.62,light rain,20.785,-156.4656,Maui Sunset
451,Tabatinga,BR,77.09,clear sky,-4.2525,-69.9381,Hotel Amazon Bed and Breakfast / Hotel Amazon B&B
453,Saint-Georges,GD,78.48,few clouds,12.0564,-61.7485,Radisson Grenada Beach Resort
461,Cape Canaveral,US,77.02,clear sky,28.4058,-80.6048,Residence Inn by Marriott Cape Canaveral Cocoa Beach
466,Shwebo,MM,87.62,scattered clouds,22.5667,95.7,MOON SHINE Guest House
467,Mitsamiouli,KM,81.23,overcast clouds,-11.3847,43.2844,Foyer ADM
469,Alice Springs,AU,76.55,few clouds,-23.7,133.8833,Desert Palms Alice Springs
474,Weston,US,78.03,few clouds,26.1004,-80.3998,Courtyard by Marriott Fort Lauderdale Weston
475,Luwuk,ID,86.68,broken clouds,-0.9516,122.7875,Hotel Santika Luwuk
476,Lorengau,PG,84.97,overcast clouds,-2.0226,147.2712,Lorengau Harbourside Hotel
478,Kavaratti,IN,82.85,scattered clouds,10.5669,72.642,Hotels in Lakshadweep Islands
480,Guane,CU,77.05,scattered clouds,22.2025,-84.0875,base de Campismo LosPortales de Guane
481,Takoradi,GH,80.38,broken clouds,4.8845,-1.7554,Raybow International Hotel
483,Angoram,PG,88.25,broken clouds,-4.0625,144.0661,
489,Awbari,LY,77.29,overcast clouds,26.5921,12.7805,فندق أوباري
491,Wajid,SO,76.66,clear sky,3.8093,43.2471,xamdihotelresturant114
495,Rantepao,ID,82.22,broken clouds,-2.9701,119.8978,Hotel Luta Resort
498,Marica,BR,84.11,clear sky,-22.9194,-42.8186,Marica Hills
499,Patiya,BD,82.45,scattered clouds,22.2931,91.9762,অধ্যক্ষ ইকবাল মোজাদ্দেদী সাহেব এর বাড়ি
500,Palia Kalan,IN,76.26,clear sky,28.45,80.5833,Hotel Sleep Inn
501,Matara,LK,79.05,broken clouds,5.9485,80.5353,Amaloh Boutique Resort
504,Hamilton,US,77.09,clear sky,39.1834,-84.5333,Six Acres Bed & Breakfast
506,Saint-Joseph,RE,75.58,broken clouds,-21.3667,55.6167,"""Plantation Bed and Breakfast"
507,Yulara,AU,80.44,overcast clouds,-25.2406,130.9889,Desert Gardens Hotel - Ayers Rock Resort
508,Lingao,CN,77.68,broken clouds,19.9103,109.6859,Lingao Ditai Inn
516,Luanda,AO,76.91,overcast clouds,-8.8368,13.2343,EPIC SANA Luanda
517,Luquillo,PR,76.95,broken clouds,18.3725,-65.7166,Yunque Mar Beach Hotel
518,Beterou,BJ,82.08,light rain,9.1992,2.2586,Monastère de Kokoubou
519,Nicoya,CR,81.36,broken clouds,10.1483,-85.452,Las Cabinas Del Sueño
529,Caravelas,BR,75.15,clear sky,-17.7125,-39.2481,Pousada dos Navegantes
