City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
66,Thompson,CA,2022-03-19 03:30:50,55.7435,-97.8558,32.16,74,40,0.0
67,Hithadhoo,MV,2022-03-19 03:30:51,-0.6,73.0833,83.68,72,100,15.55
68,Jamestown,US,2022-03-19 03:30:27,42.097,-79.2353,62.24,31,75,10.36
69,Aklavik,CA,2022-03-19 03:30:53,68.2191,-135.0107,-10.93,88,98,9.73
70,Bambous Virieux,MU,2022-03-19 03:30:54,-20.3428,57.7575,80.22,94,40,2.3
71,Mushie,CD,2022-03-19 03:30:54,-3.0167,16.9,71.58,95,98,3.11
72,Dunedin,NZ,2022-03-19 03:30:55,-45.8742,170.5036,58.8,75,85,5.99
73,Kampen,NL,2022-03-19 03:30:56,52.555,5.9111,40.96,86,0,10.09
74,Espanola,US,2022-03-19 03:29:33,35.9911,-106.0806,46.38,51,20,1.1
75,Saldanha,ZA,2022-03-19 03:30:57,-33.0117,17.9442,62.65,79,30,7.58
76,Heidenau,DE,2022-03-19 03:30:58,50.9722,13.8674,40.23,88,20,4.61
77,Hirara,JP,2022-03-19 03:30:59,24.8,125.2833,73.26,68,40,12.66
78,Watford,GB,2022-03-19 03:31:00,51.6553,-0.396,46.4,88,0,8.05
79,Bandarbeyla,SO,2022-03-19 03:26:33,9.4942,50.8122,76.08,73,0,9.37
80,East London,ZA,2022-03-19 03:31:02,-33.0153,27.9116,69.89,87,100,7.96
81,Acajutla,SV,2022-03-19 03:31:03,13.5928,-89.8275,80.04,77,5,5.99
82,Sakete,BJ,2022-03-19 03:31:03,6.7362,2.6587,79.75,85,83,5.08
83,Grand Gaube,MU,2022-03-19 03:31:04,-20.0064,57.6608,80.38,91,64,1.01
84,Itarema,BR,2022-03-19 03:31:05,-2.9248,-39.9167,76.23,87,44,6.13
85,Arraial Do Cabo,BR,2022-03-19 03:31:06,-22.9661,-42.0278,76.66,86,2,24.49
86,Paita,PE,2022-03-19 03:31:07,-5.0892,-81.1144,74.37,74,13,12.3
87,Half Moon Bay,US,2022-03-19 03:31:07,37.4636,-122.4286,58.48,79,100,12.66
88,Landau,DE,2022-03-19 03:31:09,49.2075,8.1133,44.62,71,0,11.52
89,Karratha,AU,2022-03-19 03:29:08,-20.7377,116.8463,94.89,42,0,7.45
90,Reno,US,2022-03-19 03:29:41,39.5296,-119.8138,58.66,35,100,12.66
91,Khandyga,RU,2022-03-19 03:31:11,62.6667,135.6,15.73,86,100,2.3
92,Kargil,IN,2022-03-19 03:31:11,34.5667,76.1,23.49,72,17,0.51
93,Lebu,CL,2022-03-19 03:31:12,-37.6167,-73.65,55.18,75,100,13.51
94,Tasiilaq,GL,2022-03-19 03:31:13,65.6145,-37.6368,19.56,86,65,5.77
95,Cabo San Lucas,MX,2022-03-19 03:31:14,22.8909,-109.9124,72.52,74,0,3.44
96,Adrar,MR,2022-03-19 03:31:15,20.5022,-10.0711,63.54,34,72,8.84
97,Salmon Arm,CA,2022-03-19 03:31:16,50.6998,-119.3024,44.44,94,100,0.0
98,Mayo,US,2022-03-19 03:31:17,38.8876,-76.5119,62.26,88,0,11.5
99,Betsiamites,CA,2022-03-19 03:31:17,48.9413,-68.646,30.29,82,5,8.52
100,Nisia Floresta,BR,2022-03-19 03:31:18,-6.0911,-35.2086,79.18,82,98,3.67
101,Strezhevoy,RU,2022-03-19 03:31:19,60.7333,77.5889,26.37,95,100,10.6
102,Balaipungut,ID,2022-03-19 03:31:20,1.05,101.2833,88.54,61,83,3.47
103,Lorengau,PG,2022-03-19 03:31:21,-2.0226,147.2712,86.38,61,57,9.93
104,Yellowknife,CA,2022-03-19 03:31:21,62.456,-114.3525,14.52,85,75,0.0
105,Abeche,TD,2022-03-19 03:31:22,13.8292,20.8324,66.81,10,86,11.16
106,Vestmannaeyjar,IS,2022-03-19 03:31:24,63.4427,-20.2734,34.86,99,100,14.85
107,Kiknur,RU,2022-03-19 03:31:24,57.3034,47.2011,27.19,88,93,5.53
108,Kloulklubed,PW,2022-03-19 03:31:25,7.0419,134.2556,81.1,77,100,13.24
109,Brigantine,US,2022-03-19 03:31:26,39.4101,-74.3646,53.04,95,100,8.05
